Used,dir,File,Good,Brace,Labelled,TREE,
,Residrill_data,DRO_Residrill058,,No,CORE_END_3_AT 90 DEGREE,,
,Residrill_data,DRO_Residrill059,,No,CORE_END-3,,
,Residrill_data,DRO_Residrill060,,No,CORE_CAST_3,,
t,Residrill_data,DRO_Residrill061,,No,CORE_CAST_3,Cast_3,
,,,,,,,
,Residrill_data_2,Residrill001,,No,BRK_TRAN_1_TREE_3,,
,Residrill_data_2,Residrill002,,No,BRK_TRAN1_TREE_3_2nd,,
,Residrill_data_2,Residrill003,,No,BRK TRAN 1 TREE 2 ,,
,Residrill_data_2,Residrill004,,No,BRK TRAN 1 TREE 2 90 degree,,
,Residrill_data_2,Residrill005,,No,CORE_BRK_TRAN_1_TREE_1,,
,Residrill_data_2,Residrill006,,No,CORE_MELA_1,,
,Residrill_data_2,Residrill007,,No,CORE_MELA_2,,
,Residrill_data_2,Residrill008,,No,CORE_MELA_2_2nd attempt,,
,Residrill_data_2,Residrill009,,No,CORE_MELA_3,,
,Residrill_data_2,Residrill010,,No,CORE_MELA_3_2nd,,
,Residrill_data_2,Residrill011,,No,CORE_MELA_3_3rd,,
,Residrill_data_2,Residrill012,,No,CORE_TRIAL_PETA,,
,,,,,,,
,Residrill_data_3,Measurment001,,Yes,CORE_ALPH_01,,
,Residrill_data_3,Measurment002,F,Yes,CORE_ELEA_03,,
,Residrill_data_3,Measurment003,F,Yes,CORE_ELEA_03,,
,Residrill_data_3,Measurment004,F,Yes,CORE_ELEA_03,,
,Residrill_data_3,Measurment005,F,Yes,CORE_ELEA_03,,
,Residrill_data_3,Measurment006,,Yes,CORE_ELEA_03,,
,Residrill_data_3,Measurment007,,Yes,CORE_END_01,,
